"Task ID","Task Name","Description","List","Status","Priority","MVP Cut","Critical Path","Owner Group","Dependencies","Deliverable","Acceptance Criteria","Tags"
"T-D01","[T-D01] D1~D11 의사결정 회의 기획","산출물: 회의 안건서 (각 결정에 대한 옵션·영향·권고안)

수용기준(AC): D1~D11 각 항목에 옵션 ≥2개와 권고안 제시

담당: PM
의존성: —
MVP 컷: must-open","0. 의사결정 회의 (선행 — 모든 분야 unblock)","to do","P1","must-open","no","PM","—","회의 안건서 (각 결정에 대한 옵션·영향·권고안)","D1~D11 각 항목에 옵션 ≥2개와 권고안 제시","P1, must-open, 의사결정-회의-(선행-—-모든-분야-unblock)"
"T-D02","[T-D02] D1~D11 의사결정 회의 진행","산출물: 결정 회의록 (각 결정 사항 + 결정 사유 + 결정자)

수용기준(AC): D1~D11 모두 결정 표시. 미결정 항목은 ""재논의 일자"" 명시

담당: 경영/PM
의존성: T-D01
MVP 컷: must-open","0. 의사결정 회의 (선행 — 모든 분야 unblock)","to do","P0","must-open","yes","경영/PM","T-D01","결정 회의록 (각 결정 사항 + 결정 사유 + 결정자)","D1~D11 모두 결정 표시. 미결정 항목은 ""재논의 일자"" 명시","P0, must-open, 의사결정-회의-(선행-—-모든-분야-unblock)"
"T-D03","[T-D03] D6 Cafe24 구현 범위 사전 조사","산출물: Cafe24 기본 기능 vs 외부 연동 비교표 (정품등록·멤버십·다중진입로·ROUTINE LAB)

수용기준(AC): 4개 항목별로 기본/테마/외부연동 가능 여부와 공수 추정

담당: 개발
의존성: —
MVP 컷: must-open","0. 의사결정 회의 (선행 — 모든 분야 unblock)","to do","P0","must-open","yes","개발","—","Cafe24 기본 기능 vs 외부 연동 비교표 (정품등록·멤버십·다중진입로·ROUTINE LAB)","4개 항목별로 기본/테마/외부연동 가능 여부와 공수 추정","P0, must-open, 의사결정-회의-(선행-—-모든-분야-unblock)"
"T-D04","[T-D04] D8 부스터 라인명 6개 상표권 검색","산출물: 상표권 검색 결과 보고서

수용기준(AC): 6개 라인명 + 후보 대체안 2~3개씩, 출원 가능성 명시

담당: 법무
의존성: —
MVP 컷: must-open","0. 의사결정 회의 (선행 — 모든 분야 unblock)","to do","P0","must-open","yes","법무","—","상표권 검색 결과 보고서","6개 라인명 + 후보 대체안 2~3개씩, 출원 가능성 명시","P0, must-open, 의사결정-회의-(선행-—-모든-분야-unblock)"
"T-C01","[T-C01] GNB 8개 메뉴 IA 와이어프레임","산출물: 데스크톱·모바일 와이어프레임

수용기준(AC): 8메뉴 노출/활성/호버/모바일 햄버거 동작 명세 포함

담당: 기획/디자인
의존성: T-D02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","기획/디자인","T-D02","데스크톱·모바일 와이어프레임","8메뉴 노출/활성/호버/모바일 햄버거 동작 명세 포함","P1, must-open, 공통-/-메인-/-GNB"
"T-C02","[T-C02] 메인 Hero 영역 카피·비주얼 확정","산출물: Hero 디자인 시안

수용기준(AC): 슬로건 ""피부에, 몸 안에서, 그리고 스트레스관리까지."" 적용, 4라인 카드 진입 CTA

담당: 디자인/콘텐츠
의존성: T-D02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","디자인/콘텐츠","T-D02","Hero 디자인 시안","슬로건 ""피부에, 몸 안에서, 그리고 스트레스관리까지."" 적용, 4라인 카드 진입 CTA","P1, must-open, 공통-/-메인-/-GNB"
"T-C03","[T-C03] 추천 빠른 진입 바 컴포넌트 설계","산출물: 가로 스크롤 컴포넌트 시안 + 운영 룰

수용기준(AC): 노출 항목 6개 운영 룰 + 시즌 교체 주기 + CMS 입력 필드 정의

담당: 기획/디자인
의존성: T-D02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","기획/디자인","T-D02","가로 스크롤 컴포넌트 시안 + 운영 룰","노출 항목 6개 운영 룰 + 시즌 교체 주기 + CMS 입력 필드 정의","P1, must-open, 공통-/-메인-/-GNB"
"T-C04","[T-C04] 4라인 카드 (DEVICE/BOOSTER/INNER/CALM)","산출물: 카드 시안 + INNER/CALM ""준비중"" 처리

수용기준(AC): D1 결정 반영. 준비중일 경우 카드 상태와 클릭 처리 명시

담당: 디자인
의존성: T-D02 (D1)
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","디자인","T-D02 (D1)","카드 시안 + INNER/CALM ""준비중"" 처리","D1 결정 반영. 준비중일 경우 카드 상태와 클릭 처리 명시","P1, must-open, 공통-/-메인-/-GNB"
"T-C05","[T-C05] SCIENCE 티저 섹션","산출물: 1문장 카피 + 진입 CTA 시안

수용기준(AC): DEVICE SCIENCE 페이지(T-SC02)에 연결

담당: 콘텐츠/디자인
의존성: T-SC02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","콘텐츠/디자인","T-SC02","1문장 카피 + 진입 CTA 시안","DEVICE SCIENCE 페이지(T-SC02)에 연결","P1, must-open, 공통-/-메인-/-GNB"
"T-C06","[T-C06] ROUTINE LAB 인기 루틴 섹션 (메인)","산출물: 메인 노출 컴포넌트 시안

수용기준(AC): 수동 운영 가능한 입력 폼 + 3~6개 카드 노출

담당: 기획/디자인
의존성: T-CM01
MVP 컷: post-open","1. 공통 / 메인 / GNB","to do","P1","post-open","no","기획/디자인","T-CM01","메인 노출 컴포넌트 시안","수동 운영 가능한 입력 폼 + 3~6개 카드 노출","P1, post-open, 공통-/-메인-/-GNB"
"T-C07","[T-C07] PHILOSOPHY 티저 섹션","산출물: 1문장 카피 + 진입 CTA

수용기준(AC): BRAND/PHILOSOPHY 페이지(T-BR01) 연결

담당: 콘텐츠
의존성: T-BR01
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","콘텐츠","T-BR01","1문장 카피 + 진입 CTA","BRAND/PHILOSOPHY 페이지(T-BR01) 연결","P1, must-open, 공통-/-메인-/-GNB"
"T-C08","[T-C08] 메인 푸터 IA 재배치","산출물: 푸터 시안

수용기준(AC): SUPPORT/매장/회사/뉴스 링크 재배치 + 정품등록 진입 추가

담당: 디자인
의존성: T-D02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","디자인","T-D02","푸터 시안","SUPPORT/매장/회사/뉴스 링크 재배치 + 정품등록 진입 추가","P1, must-open, 공통-/-메인-/-GNB"
"T-C09","[T-C09] 상품명 공식 적용 — SKU 명칭 표준화","산출물: SKU 명칭 변경 매핑표

수용기준(AC): 전 SKU에 `[상위]+[하위]+[유형]` 적용된 신·구 명칭 1:1 매핑

담당: MD/콘텐츠
의존성: T-C12, T-BO01
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","MD/콘텐츠","T-C12, T-BO01","SKU 명칭 변경 매핑표","전 SKU에 `[상위]+[하위]+[유형]` 적용된 신·구 명칭 1:1 매핑","P1, must-open, 공통-/-메인-/-GNB"
"T-C10","[T-C10] 상품명 변경 → 리다이렉트 매핑 (사이드이펙트)","산출물: 구 URL → 신 URL 301 매핑

수용기준(AC): 공식몰 검색·즐겨찾기·외부 리뷰 깨짐 방지. 누락 0건

담당: 개발
의존성: T-C09
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","개발","T-C09","구 URL → 신 URL 301 매핑","공식몰 검색·즐겨찾기·외부 리뷰 깨짐 방지. 누락 0건","P1, must-open, 공통-/-메인-/-GNB"
"T-C11a","[T-C11a] 공식몰 인벤토리 — 제품/SKU","산출물: 제품·가격·할인·이미지·구성품 목록

수용기준(AC): 전 SKU 누락 0건, 라인 매핑 가능 상태

담당: PM/MD
의존성: —
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","PM/MD","—","제품·가격·할인·이미지·구성품 목록","전 SKU 누락 0건, 라인 매핑 가능 상태","P1, must-open, 공통-/-메인-/-GNB"
"T-C11b","[T-C11b] 공식몰 인벤토리 — FAQ","산출물: FAQ 항목 전수 추출 + 카테고리 분류

수용기준(AC): 5개 신규 카테고리 분류 완료

담당: PM/CS
의존성: —
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","PM/CS","—","FAQ 항목 전수 추출 + 카테고리 분류","5개 신규 카테고리 분류 완료","P1, must-open, 공통-/-메인-/-GNB"
"T-C11c","[T-C11c] 공식몰 인벤토리 — 리뷰","산출물: 리뷰 데이터 추출 + 제품 매핑 키

수용기준(AC): 리뷰-제품 매핑 키 보존, 이관 가능 형태

담당: PM/CS
의존성: —
MVP 컷: post-open","1. 공통 / 메인 / GNB","to do","P1","post-open","no","PM/CS","—","리뷰 데이터 추출 + 제품 매핑 키","리뷰-제품 매핑 키 보존, 이관 가능 형태","P1, post-open, 공통-/-메인-/-GNB"
"T-C11d","[T-C11d] 공식몰 인벤토리 — 뉴스/공지/매거진","산출물: 게시물 목록 + 분류안

수용기준(AC): 카테고리별 분류 완료 (회사/뉴스/매거진/라이브)

담당: PM/PR
의존성: —
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","PM/PR","—","게시물 목록 + 분류안","카테고리별 분류 완료 (회사/뉴스/매거진/라이브)","P1, must-open, 공통-/-메인-/-GNB"
"T-C11e","[T-C11e] 공식몰 인벤토리 — 정책(배송/반품/A/S/매장)","산출물: 정책 문서 전체

수용기준(AC): 신규 정책 페이지의 입력 자료로 사용 가능

담당: PM/CS
의존성: —
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","PM/CS","—","정책 문서 전체","신규 정책 페이지의 입력 자료로 사용 가능","P1, must-open, 공통-/-메인-/-GNB"
"T-C12","[T-C12] SKU 마스터 정리","산출물: SKU 마스터 시트

수용기준(AC): 가격·할인·구성품·재고·라인 매핑 컬럼 완비

담당: MD/운영
의존성: T-C11a
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","MD/운영","T-C11a","SKU 마스터 시트","가격·할인·구성품·재고·라인 매핑 컬럼 완비","P1, must-open, 공통-/-메인-/-GNB"
"T-DV01","[T-DV01] 듀얼테트라 PDP — SCIENCE 6요소 표준 적용","산출물: PDP 시안

수용기준(AC): 6요소(헤드라인→메커니즘→성분→임상→인증→CTA) 전부 포함, 임상 4종 세트 표기

담당: 디자인/콘텐츠
의존성: T-SC01
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","디자인/콘텐츠","T-SC01","PDP 시안","6요소(헤드라인→메커니즘→성분→임상→인증→CTA) 전부 포함, 임상 4종 세트 표기","P1, must-open, DEVICE"
"T-DV02","[T-DV02] 듀얼테트라 프로 PDP — 동일 표준 적용","산출물: PDP 시안

수용기준(AC): 동일 AC

담당: 디자인/콘텐츠
의존성: T-SC01
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","디자인/콘텐츠","T-SC01","PDP 시안","동일 AC","P1, must-open, DEVICE"
"T-DV03","[T-DV03] 듀얼테트라 헤일로 PDP — 동일 표준 + 추천 진입 노출","산출물: PDP 시안

수용기준(AC): 동일 AC + 추천 빠른 진입 바 노출 SKU 지정

담당: 디자인/콘텐츠
의존성: T-SC01, T-C03
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","디자인/콘텐츠","T-SC01, T-C03","PDP 시안","동일 AC + 추천 빠른 진입 바 노출 SKU 지정","P1, must-open, DEVICE"
"T-DV04","[T-DV04] 액세서리/정품 부품 카테고리 진열","산출물: 카테고리 페이지

수용기준(AC): 파우치·헤드커버·세트류 재진열, PDP 연결

담당: MD/디자인
의존성: T-C12
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","MD/디자인","T-C12","카테고리 페이지","파우치·헤드커버·세트류 재진열, PDP 연결","P1, must-open, DEVICE"
"T-DV05","[T-DV05] 디바이스 비교하기 — 비교표","산출물: 3모델 스펙·효과·가격 비교 컴포넌트

수용기준(AC): 모바일 좌우 스크롤 가능, 모든 셀 출처 표기

담당: 기획/콘텐츠
의존성: T-C12
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","기획/콘텐츠","T-C12","3모델 스펙·효과·가격 비교 컴포넌트","모바일 좌우 스크롤 가능, 모든 셀 출처 표기","P1, must-open, DEVICE"
"T-DV06","[T-DV06] 디바이스 비교하기 — 진단형 추천 (""나에게 맞는 디바이스"")","산출물: 4~6문항 진단 폼 + 결과 라우팅

수용기준(AC): 결과로 3모델 중 1개 추천 + PDP 진입

담당: 기획/개발
의존성: T-DV05
MVP 컷: post-open","2. DEVICE","to do","P2","post-open","no","기획/개발","T-DV05","4~6문항 진단 폼 + 결과 라우팅","결과로 3모델 중 1개 추천 + PDP 진입","P2, post-open, DEVICE"
"T-DV07","[T-DV07] 사용법 튜토리얼 — 디바이스별 영상·단계별 가이드","산출물: 모델별 튜토리얼 페이지

수용기준(AC): 영상 + 단계별 텍스트 + 부위별 FAQ. 모델 3종 모두

담당: 콘텐츠/CS
의존성: T-C11a
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","콘텐츠/CS","T-C11a","모델별 튜토리얼 페이지","영상 + 단계별 텍스트 + 부위별 FAQ. 모델 3종 모두","P1, must-open, DEVICE"
"T-DV10","[T-DV10] 정품 인증번호 등록 — 시리얼 입력 + 회원 매핑","산출물: 입력 폼 + 회원 매핑 API

수용기준(AC): 시리얼 형식 검증, 중복 등록 차단, 비회원도 임시 저장 후 회원가입 시 머지

담당: 개발
의존성: T-D02, T-D03, T-AC01
MVP 컷: must-open","2. DEVICE","to do","P0","must-open","yes","개발","T-D02, T-D03, T-AC01","입력 폼 + 회원 매핑 API","시리얼 형식 검증, 중복 등록 차단, 비회원도 임시 저장 후 회원가입 시 머지","P0, must-open, DEVICE"
"T-DV11","[T-DV11] 정품 인증번호 등록 — 구매처/구매일 검증 룰","산출물: 검증 로직 명세

수용기준(AC): 인정 구매처 리스트, 자가 등록 시 영수증 업로드 룰

담당: CRM/MD
의존성: T-D02
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","CRM/MD","T-D02","검증 로직 명세","인정 구매처 리스트, 자가 등록 시 영수증 업로드 룰","P1, must-open, DEVICE"
"T-DV12","[T-DV12] 정품 인증번호 등록 — 개인정보 동의 + 보안 설계","산출물: 동의서 + 보안 인프라 명세

수용기준(AC): 법정 동의 항목 충족, 암호화 저장, 보존기간 명시

담당: 법무/개발
의존성: T-D02
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","법무/개발","T-D02","동의서 + 보안 인프라 명세","법정 동의 항목 충족, 암호화 저장, 보존기간 명시","P1, must-open, DEVICE"
"T-DV13","[T-DV13] 정품 인증번호 등록 — A/S 자동 연결 워크플로우","산출물: CS 워크플로우 문서 + 시스템 연동

수용기준(AC): 등록 → A/S 신청 시 자동 SKU·구매일 매핑, CS 대시보드 노출

담당: CS/개발
의존성: T-DV10, T-DV11
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","CS/개발","T-DV10, T-DV11","CS 워크플로우 문서 + 시스템 연동","등록 → A/S 신청 시 자동 SKU·구매일 매핑, CS 대시보드 노출","P1, must-open, DEVICE"
"T-DV14","[T-DV14] 정품 인증번호 등록 — 리워드 적립 로직","산출물: 리워드 규칙 + 적립 트리거

수용기준(AC): D9 결정 반영, 중복 적립 차단, 회계 처리 명세

담당: CRM/법무
의존성: T-D02 (D9), T-DV10
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","CRM/법무","T-D02 (D9), T-DV10","리워드 규칙 + 적립 트리거","D9 결정 반영, 중복 적립 차단, 회계 처리 명세","P1, must-open, DEVICE"
"T-DV15","[T-DV15] 정품 인증번호 등록 — 등록 후 CRM 이벤트 발행","산출물: CRM 이벤트 명세 (멤버십 2차 연결)

수용기준(AC): 등록 완료 이벤트 발행, 2차 멤버십 자동 상향 hook 준비

담당: CRM/개발
의존성: T-DV10
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","CRM/개발","T-DV10","CRM 이벤트 명세 (멤버십 2차 연결)","등록 완료 이벤트 발행, 2차 멤버십 자동 상향 hook 준비","P1, must-open, DEVICE"
"T-DV16","[T-DV16] 정품 인증번호 등록 — 모바일 UX","산출물: 모바일 입력·카메라 OCR 시안(선택)

수용기준(AC): 모바일 시리얼 입력 1분 이내 완료

담당: 디자인
의존성: T-DV10
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","디자인","T-DV10","모바일 입력·카메라 OCR 시안(선택)","모바일 시리얼 입력 1분 이내 완료","P1, must-open, DEVICE"
"T-DV17","[T-DV17] 정품 인증번호 등록 — 위조/오등록 처리 정책","산출물: 위조 시리얼·오등록 처리 정책 문서

수용기준(AC): 위조 의심 시 CS 알림, 오등록 정정 절차

담당: CS/법무
의존성: T-DV10
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","CS/법무","T-DV10","위조 시리얼·오등록 처리 정책 문서","위조 의심 시 CS 알림, 오등록 정정 절차","P1, must-open, DEVICE"
"T-DV18","[T-DV18] DEVICE 진입 페이지 (DEVICE 허브)","산출물: 허브 페이지 시안

수용기준(AC): 3모델 진열 + 액세서리 + 서비스 5종 진입

담당: 디자인
의존성: T-DV01~03, T-DV05, T-DV07, T-DV10
MVP 컷: must-open","2. DEVICE","to do","P1","must-open","no","디자인","T-DV01~03, T-DV05, T-DV07, T-DV10","허브 페이지 시안","3모델 진열 + 액세서리 + 서비스 5종 진입","P1, must-open, DEVICE"
"T-BO01","[T-BO01] 부스터 라인 슬로건 6개 확정","산출물: 라인명+슬로건 6쌍 (상표권 확정)

수용기준(AC): 데일리 글로우/펌업/라이트/베어/클리어/컴포트 6개 라인명+슬로건 최종 확정

담당: 콘텐츠/MD/법무
의존성: T-D04
MVP 컷: must-open","3. BOOSTER","to do","P0","must-open","yes","콘텐츠/MD/법무","T-D04","라인명+슬로건 6쌍 (상표권 확정)","데일리 글로우/펌업/라이트/베어/클리어/컴포트 6개 라인명+슬로건 최종 확정","P0, must-open, BOOSTER"
"T-BO02","[T-BO02] BOOSTER 카테고리 진입 페이지","산출물: 카테고리 시안 (4탭: 라인/고민/유형/선물)

수용기준(AC): 4탭 일관 적용, 모바일 탭 동작 명세

담당: 기획/디자인
의존성: T-BO01, T-ME01
MVP 컷: must-open","3. BOOSTER","to do","P1","must-open","no","기획/디자인","T-BO01, T-ME01","카테고리 시안 (4탭: 라인/고민/유형/선물)","4탭 일관 적용, 모바일 탭 동작 명세","P1, must-open, BOOSTER"
"T-BO03","[T-BO03] 부스터 데일리 글로우 라인 페이지","산출물: 라인 페이지 시안 + SCIENCE 진입

수용기준(AC): 슬로건 + 라인 SCIENCE 진입 + 대표 SKU 진열

담당: 디자인/콘텐츠
의존성: T-BO01, T-C09
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","디자인/콘텐츠","T-BO01, T-C09","라인 페이지 시안 + SCIENCE 진입","슬로건 + 라인 SCIENCE 진입 + 대표 SKU 진열","P1, post-open, BOOSTER"
"T-BO04","[T-BO04] 부스터 펌업 라인 페이지","산출물: 동일 구조

수용기준(AC): 동일 AC

담당: 디자인/콘텐츠
의존성: T-BO01
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","디자인/콘텐츠","T-BO01","동일 구조","동일 AC","P1, post-open, BOOSTER"
"T-BO05","[T-BO05] 부스터 라이트 라인 페이지","산출물: 동일 구조

수용기준(AC): 동일 AC

담당: 디자인/콘텐츠
의존성: T-BO01
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","디자인/콘텐츠","T-BO01","동일 구조","동일 AC","P1, post-open, BOOSTER"
"T-BO06","[T-BO06] 부스터 베어 라인 페이지","산출물: 동일 구조

수용기준(AC): 동일 AC

담당: 디자인/콘텐츠
의존성: T-BO01
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","디자인/콘텐츠","T-BO01","동일 구조","동일 AC","P1, post-open, BOOSTER"
"T-BO07","[T-BO07] 부스터 클리어 라인 페이지","산출물: 동일 구조

수용기준(AC): 동일 AC

담당: 디자인/콘텐츠
의존성: T-BO01
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","디자인/콘텐츠","T-BO01","동일 구조","동일 AC","P1, post-open, BOOSTER"
"T-BO08","[T-BO08] 부스터 컴포트 라인 페이지","산출물: 동일 구조

수용기준(AC): 동일 AC

담당: 디자인/콘텐츠
의존성: T-BO01
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","디자인/콘텐츠","T-BO01","동일 구조","동일 AC","P1, post-open, BOOSTER"
"T-BO09","[T-BO09] 부스터 루틴팩 SKU 정의 + 진열","산출물: 루틴팩 SKU + 진열 페이지

수용기준(AC): 디바이스 X 부스터 패키지 SKU 정의, 가격·할인 룰 포함

담당: MD/디자인
의존성: T-BO01, T-C12
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","MD/디자인","T-BO01, T-C12","루틴팩 SKU + 진열 페이지","디바이스 X 부스터 패키지 SKU 정의, 가격·할인 룰 포함","P1, post-open, BOOSTER"
