"Task ID","Task Name","Description","List","Status","Priority","MVP Cut","Critical Path","Owner Group","Dependencies","Deliverable","Acceptance Criteria","Tags"
"T-BO10","[T-BO10] PULSE PICK — 고민별 조합 큐레이션","산출물: PULSE PICK 페이지 시안 + 운영 룰

수용기준(AC): 탄력/미백/진정/모공/수분/슬립 6개 고민별 조합 + 디바이스 연결

담당: MD/콘텐츠/디자인
의존성: T-BO01, T-C12
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","MD/콘텐츠/디자인","T-BO01, T-C12","PULSE PICK 페이지 시안 + 운영 룰","탄력/미백/진정/모공/수분/슬립 6개 고민별 조합 + 디바이스 연결","P1, post-open, BOOSTER"
"T-BO11","[T-BO11] 부스터 PDP 표준 적용 — 모든 부스터 SKU","산출물: PDP 일괄 시안

수용기준(AC): SCIENCE 6요소 표준, 라인 명칭 공식 적용

담당: 디자인/콘텐츠
의존성: T-BO01, T-SC01
MVP 컷: post-open","3. BOOSTER","to do","P1","post-open","no","디자인/콘텐츠","T-BO01, T-SC01","PDP 일괄 시안","SCIENCE 6요소 표준, 라인 명칭 공식 적용","P1, post-open, BOOSTER"
"T-BO12","[T-BO12] MY BOOSTER ROUTINE 자리 처리","산출물: 미노출 또는 단순 진입 결정 반영

수용기준(AC): 1차에서 미노출 시 메뉴에서 숨김, 향후 활성 hook 유지

담당: 기획
의존성: T-D02
MVP 컷: phase-2","3. BOOSTER","to do","P2","phase-2","no","기획","T-D02","미노출 또는 단순 진입 결정 반영","1차에서 미노출 시 메뉴에서 숨김, 향후 활성 hook 유지","P2, phase-2, BOOSTER"
"T-ME01","[T-ME01] 다중 진입로 UI 와이어프레임","산출물: BOOSTER/(INNER/CALM 정책 따름) 4탭 와이어

수용기준(AC): 모바일 탭 전환·필터 상태 보존·뒤로가기 동작 명세

담당: 기획/디자인
의존성: T-D02 (D1, D7)
MVP 컷: must-open","4. 다중 진입로 (BOOSTER 내부 + 횡단)","to do","P1","must-open","no","기획/디자인","T-D02 (D1, D7)","BOOSTER/(INNER/CALM 정책 따름) 4탭 와이어","모바일 탭 전환·필터 상태 보존·뒤로가기 동작 명세","P1, must-open, 다중-진입로-(BOOSTER-내부-+-횡단)"
"T-ME02","[T-ME02] 고민별 진입 페이지 (탄력/미백/진정/슬립/모공)","산출물: 고민별 진열 페이지 5개

수용기준(AC): 고민당 디바이스+부스터+이너(2차) 가로지름 진열. 1차는 디바이스+부스터만

담당: 기획/디자인/MD
의존성: T-ME01, T-BO01
MVP 컷: post-open","4. 다중 진입로 (BOOSTER 내부 + 횡단)","to do","P1","post-open","no","기획/디자인/MD","T-ME01, T-BO01","고민별 진열 페이지 5개","고민당 디바이스+부스터+이너(2차) 가로지름 진열. 1차는 디바이스+부스터만","P1, post-open, 다중-진입로-(BOOSTER-내부-+-횡단)"
"T-ME03","[T-ME03] 유형별 진입 페이지","산출물: 유형 필터 페이지

수용기준(AC): 외용 8유형·이너 4유형·디바이스 3유형 필터 동작

담당: 기획/개발
의존성: T-ME01, T-D03
MVP 컷: post-open","4. 다중 진입로 (BOOSTER 내부 + 횡단)","to do","P1","post-open","no","기획/개발","T-ME01, T-D03","유형 필터 페이지","외용 8유형·이너 4유형·디바이스 3유형 필터 동작","P1, post-open, 다중-진입로-(BOOSTER-내부-+-횡단)"
"T-ME04","[T-ME04] 선물하기 시즌·가격대·받는 사람별 큐레이션","산출물: 선물하기 허브 + 4세트 큐레이션

수용기준(AC): D10 결정 반영, 4분류 모두 노출, 부가옵션(포장/카드/익명/영수증 분리) UI

담당: MD/디자인
의존성: T-D02 (D10), T-C12
MVP 컷: must-open","4. 다중 진입로 (BOOSTER 내부 + 횡단)","to do","P1","must-open","no","MD/디자인","T-D02 (D10), T-C12","선물하기 허브 + 4세트 큐레이션","D10 결정 반영, 4분류 모두 노출, 부가옵션(포장/카드/익명/영수증 분리) UI","P1, must-open, 다중-진입로-(BOOSTER-내부-+-횡단)"
"T-ME05","[T-ME05] 선물하기 부가 서비스 — 포장/카드/익명/영수증 분리","산출물: 주문 플로우 변경 명세 + 결제 화면 시안

수용기준(AC): 옵션 추가가 결제·배송에 미치는 영향 매핑 + 결제 화면 UI 변경

담당: 개발/CS/디자인
의존성: T-ME04
MVP 컷: post-open","4. 다중 진입로 (BOOSTER 내부 + 횡단)","to do","P1","post-open","no","개발/CS/디자인","T-ME04","주문 플로우 변경 명세 + 결제 화면 시안","옵션 추가가 결제·배송에 미치는 영향 매핑 + 결제 화면 UI 변경","P1, post-open, 다중-진입로-(BOOSTER-내부-+-횡단)"
"T-SC01","[T-SC01] SCIENCE 6요소 PDP 표준 모듈","산출물: 컴포넌트 + 가이드 문서

수용기준(AC): 헤드라인/메커니즘/성분/임상/인증/CTA 6 슬롯 컴포넌트, 임상 4종 세트 의무 필드

담당: 디자인/개발/R&D
의존성: T-D02
MVP 컷: must-open","5. SCIENCE","to do","P0","must-open","yes","디자인/개발/R&D","T-D02","컴포넌트 + 가이드 문서","헤드라인/메커니즘/성분/임상/인증/CTA 6 슬롯 컴포넌트, 임상 4종 세트 의무 필드","P0, must-open, SCIENCE"
"T-SC02","[T-SC02] DEVICE SCIENCE 페이지","산출물: DEVICE SCIENCE 페이지 시안

수용기준(AC): 1~30MHz·5중 주파수·Clean Energy·WaveSync·DualPoration 수치 + 출처 표기

담당: R&D/콘텐츠/법무
의존성: T-SC01
MVP 컷: must-open","5. SCIENCE","to do","P1","must-open","no","R&D/콘텐츠/법무","T-SC01","DEVICE SCIENCE 페이지 시안","1~30MHz·5중 주파수·Clean Energy·WaveSync·DualPoration 수치 + 출처 표기","P1, must-open, SCIENCE"
"T-SC03","[T-SC03] BOOSTER SCIENCE 페이지","산출물: BOOSTER SCIENCE 페이지 시안

수용기준(AC): 라인별 메커니즘 + 성분 시너지

담당: R&D/콘텐츠
의존성: T-SC01, T-BO01
MVP 컷: post-open","5. SCIENCE","to do","P1","post-open","no","R&D/콘텐츠","T-SC01, T-BO01","BOOSTER SCIENCE 페이지 시안","라인별 메커니즘 + 성분 시너지","P1, post-open, SCIENCE"
"T-SC04","[T-SC04] 임상 데이터 라이브러리","산출물: 임상 카드 통합 페이지

수용기준(AC): ""정량지표+N수+기간+측정기관/방법"" 카드 N장. 출처 링크 100%

담당: R&D/콘텐츠/법무
의존성: T-SC01, T-C11a
MVP 컷: must-open","5. SCIENCE","to do","P1","must-open","no","R&D/콘텐츠/법무","T-SC01, T-C11a","임상 카드 통합 페이지","""정량지표+N수+기간+측정기관/방법"" 카드 N장. 출처 링크 100%","P1, must-open, SCIENCE"
"T-SC05","[T-SC05] R&D · 인증 · 파트너십","산출물: 인증·논문·특허 페이지

수용기준(AC): 인증 뱃지·논문 리스트·특허 출원/등록 현황

담당: R&D/법무
의존성: T-C11d
MVP 컷: must-open","5. SCIENCE","to do","P1","must-open","no","R&D/법무","T-C11d","인증·논문·특허 페이지","인증 뱃지·논문 리스트·특허 출원/등록 현황","P1, must-open, SCIENCE"
"T-SC06","[T-SC06] SCIENCE 허브 진입 페이지","산출물: 허브 페이지 시안

수용기준(AC): 4축(DEVICE/BOOSTER/INNER/CALM) 진입 + 라이브러리·R&D 진입

담당: 디자인
의존성: T-SC02, T-SC03, T-SC04
MVP 컷: must-open","5. SCIENCE","to do","P1","must-open","no","디자인","T-SC02, T-SC03, T-SC04","허브 페이지 시안","4축(DEVICE/BOOSTER/INNER/CALM) 진입 + 라이브러리·R&D 진입","P1, must-open, SCIENCE"
"T-CM01","[T-CM01] ROUTINE LAB MVP — 사용자 루틴 게시·좋아요·구매 연결","산출물: MVP 페이지 + 운영 가이드

수용기준(AC): 게시 폼/좋아요/제품 태그 → PDP 진입. 모더레이션 워크플로우 명시

담당: 기획/개발/콘텐츠
의존성: T-D03
MVP 컷: post-open","6. COMMUNITY (1차 범위)","to do","P1","post-open","no","기획/개발/콘텐츠","T-D03","MVP 페이지 + 운영 가이드","게시 폼/좋아요/제품 태그 → PDP 진입. 모더레이션 워크플로우 명시","P1, post-open, COMMUNITY-(1차-범위)"
"T-CM02","[T-CM02] 리뷰 통합 설계 (제품별 후기 통합 진열)","산출물: 통합 리뷰 설계 + 이관 매핑

수용기준(AC): 사진/영상 가중치, 포토 후기 적립금, 의료 표현 모니터링 룰

담당: 기획/CS/콘텐츠
의존성: T-C11c
MVP 컷: post-open","6. COMMUNITY (1차 범위)","to do","P1","post-open","no","기획/CS/콘텐츠","T-C11c","통합 리뷰 설계 + 이관 매핑","사진/영상 가중치, 포토 후기 적립금, 의료 표현 모니터링 룰","P1, post-open, COMMUNITY-(1차-범위)"
"T-CM03","[T-CM03] 리뷰 이관/검수 (공식몰 → 신 자사몰)","산출물: 리뷰 이관 결과 + 검수 보고서

수용기준(AC): 제품 매핑 누락 0건, 의료·과장 표현 검수 완료율 100%

담당: CS/콘텐츠/법무
의존성: T-C12, T-CM02, T-C11c
MVP 컷: post-open","6. COMMUNITY (1차 범위)","to do","P1","post-open","no","CS/콘텐츠/법무","T-C12, T-CM02, T-C11c","리뷰 이관 결과 + 검수 보고서","제품 매핑 누락 0건, 의료·과장 표현 검수 완료율 100%","P1, post-open, COMMUNITY-(1차-범위)"
"T-BR01","[T-BR01] PHILOSOPHY 페이지 (7섹션)","산출물: 페이지 시안

수용기준(AC): Hero·Why·3원칙·SCIENCE 티저·3라인·사용자 보이스·다음 행보 7섹션 모두

담당: 브랜드/콘텐츠/디자인
의존성: —
MVP 컷: must-open","7. BRAND","to do","P1","must-open","no","브랜드/콘텐츠/디자인","—","페이지 시안","Hero·Why·3원칙·SCIENCE 티저·3라인·사용자 보이스·다음 행보 7섹션 모두","P1, must-open, BRAND"
"T-BR02","[T-BR02] 비앙글로 페이지","산출물: 페이지 시안

수용기준(AC): 부스터 라인 정체성 별도 소개. BOOSTER 카테고리와 교차 링크

담당: 브랜드/콘텐츠
의존성: T-BO01
MVP 컷: post-open","7. BRAND","to do","P2","post-open","no","브랜드/콘텐츠","T-BO01","페이지 시안","부스터 라인 정체성 별도 소개. BOOSTER 카테고리와 교차 링크","P2, post-open, BRAND"
"T-BR03","[T-BR03] 회사 소개 / 뉴스 / 매거진 아카이브 통합","산출물: 페이지 시안 + 콘텐츠 이관

수용기준(AC): 공식몰 공지·뉴스·매거진·라이브 아카이브 카테고리 정리

담당: PR/콘텐츠
의존성: T-C11d
MVP 컷: must-open","7. BRAND","to do","P1","must-open","no","PR/콘텐츠","T-C11d","페이지 시안 + 콘텐츠 이관","공식몰 공지·뉴스·매거진·라이브 아카이브 카테고리 정리","P1, must-open, BRAND"
"T-BR04","[T-BR04] 매장 안내","산출물: 페이지 시안

수용기준(AC): 지도·운영시간·예약(있을 시)

담당: 운영/디자인
의존성: T-C11e
MVP 컷: must-open","7. BRAND","to do","P2","must-open","no","운영/디자인","T-C11e","페이지 시안","지도·운영시간·예약(있을 시)","P2, must-open, BRAND"
"T-SU01","[T-SU01] SUPPORT 허브 페이지","산출물: 허브 시안

수용기준(AC): FAQ·1:1·배송반품·A/S·정품등록 진입 통합 + 정품등록 CTA 강조

담당: 기획/디자인
의존성: T-SU02~05
MVP 컷: must-open","8. SUPPORT","to do","P1","must-open","no","기획/디자인","T-SU02~05","허브 시안","FAQ·1:1·배송반품·A/S·정품등록 진입 통합 + 정품등록 CTA 강조","P1, must-open, SUPPORT"
"T-SU02","[T-SU02] FAQ 카테고리 재구성 + 이관","산출물: FAQ 페이지 시안 + 이관 데이터

수용기준(AC): 카테고리 5개(디바이스/주문결제/배송/교환환불/A/S) + 정품등록 안내 통합

담당: CS/콘텐츠
의존성: T-C11b
MVP 컷: must-open","8. SUPPORT","to do","P1","must-open","no","CS/콘텐츠","T-C11b","FAQ 페이지 시안 + 이관 데이터","카테고리 5개(디바이스/주문결제/배송/교환환불/A/S) + 정품등록 안내 통합","P1, must-open, SUPPORT"
"T-SU03","[T-SU03] 1:1 문의 카테고리 라우팅","산출물: 문의 폼 시안 + CS 라우팅 룰

수용기준(AC): 카테고리별 담당팀 라우팅, 정품등록 정보 자동 첨부

담당: CS/개발
의존성: T-DV10
MVP 컷: must-open","8. SUPPORT","to do","P1","must-open","no","CS/개발","T-DV10","문의 폼 시안 + CS 라우팅 룰","카테고리별 담당팀 라우팅, 정품등록 정보 자동 첨부","P1, must-open, SUPPORT"
"T-SU04","[T-SU04] 배송·반품 정책 페이지","산출물: 정책 문서 + 페이지 시안

수용기준(AC): 정책 명문화, 멤버십 등급 혜택 자리 마련(2차)

담당: CS/법무
의존성: T-C11e
MVP 컷: must-open","8. SUPPORT","to do","P1","must-open","no","CS/법무","T-C11e","정책 문서 + 페이지 시안","정책 명문화, 멤버십 등급 혜택 자리 마련(2차)","P1, must-open, SUPPORT"
"T-SU05","[T-SU05] A/S 정책 + 정품등록 자동 연결 안내","산출물: A/S 페이지 시안 + 워크플로우 명세

수용기준(AC): 등록 → A/S 자동 연결 사용자 안내

담당: CS
의존성: T-DV13
MVP 컷: must-open","8. SUPPORT","to do","P1","must-open","no","CS","T-DV13","A/S 페이지 시안 + 워크플로우 명세","등록 → A/S 자동 연결 사용자 안내","P1, must-open, SUPPORT"
"T-SU06","[T-SU06] 스킨케어 사용법 ← → DEVICE 튜토리얼 교차 링크","산출물: 페이지 정비 + 링크 매핑

수용기준(AC): DEVICE 사용법(T-DV07)과 양방향 링크

담당: 콘텐츠
의존성: T-DV07
MVP 컷: must-open","8. SUPPORT","to do","P2","must-open","no","콘텐츠","T-DV07","페이지 정비 + 링크 매핑","DEVICE 사용법(T-DV07)과 양방향 링크","P2, must-open, SUPPORT"
"T-AC01","[T-AC01] 회원 시스템 매핑 — Cafe24 기본 ↔ CRM ↔ 정품등록","산출물: 회원 데이터 모델 명세

수용기준(AC): Cafe24 회원 ID와 정품등록·CRM 이벤트의 키 매핑 완비

담당: 개발/CRM
의존성: T-D03 (D6)
MVP 컷: must-open","8.5 회원 / 로그인 / 마이페이지 (보강)","to do","P0","must-open","yes","개발/CRM","T-D03 (D6)","회원 데이터 모델 명세","Cafe24 회원 ID와 정품등록·CRM 이벤트의 키 매핑 완비","P0, must-open, 회원-/-로그인-/-마이페이지-(보강)"
"T-AC02","[T-AC02] 로그인/회원가입 플로우 — 정품등록 진입 hook","산출물: 회원가입·로그인 화면 + 정품등록 진입 트리거

수용기준(AC): 비회원이 정품등록 시작 시 가입 유도, 가입 후 등록 자동 재개

담당: 기획/개발
의존성: T-AC01
MVP 컷: must-open","8.5 회원 / 로그인 / 마이페이지 (보강)","to do","P1","must-open","no","기획/개발","T-AC01","회원가입·로그인 화면 + 정품등록 진입 트리거","비회원이 정품등록 시작 시 가입 유도, 가입 후 등록 자동 재개","P1, must-open, 회원-/-로그인-/-마이페이지-(보강)"
"T-AC03","[T-AC03] 마이페이지 — 구매내역 · 정품등록 현황 · 문의 · 리뷰","산출물: 마이페이지 시안 + 4섹션 컴포넌트

수용기준(AC): 4섹션 동작, 정품등록 현황은 SKU·구매일·A/S 상태 노출

담당: 디자인/개발
의존성: T-AC01, T-DV13
MVP 컷: must-open","8.5 회원 / 로그인 / 마이페이지 (보강)","to do","P1","must-open","no","디자인/개발","T-AC01, T-DV13","마이페이지 시안 + 4섹션 컴포넌트","4섹션 동작, 정품등록 현황은 SKU·구매일·A/S 상태 노출","P1, must-open, 회원-/-로그인-/-마이페이지-(보강)"
"T-AC04","[T-AC04] 비회원 정품등록 임시 저장 → 회원 머지","산출물: 임시 저장 + 머지 로직 명세

수용기준(AC): 비회원이 등록한 시리얼이 가입 후 자동으로 회원 계정에 연결

담당: 개발/CRM
의존성: T-AC01, T-DV10
MVP 컷: must-open","8.5 회원 / 로그인 / 마이페이지 (보강)","to do","P1","must-open","no","개발/CRM","T-AC01, T-DV10","임시 저장 + 머지 로직 명세","비회원이 등록한 시리얼이 가입 후 자동으로 회원 계정에 연결","P1, must-open, 회원-/-로그인-/-마이페이지-(보강)"
"T-AN01","[T-AN01] GA4·Looker 계정/속성 셋업 + 기본 페이지뷰 검증","산출물: GA4 속성·측정 ID·GTM 컨테이너

수용기준(AC): 모든 페이지에서 `page_view` 정상 수신, 회원 ID 매핑 가능

담당: 데이터/개발
의존성: T-D03
MVP 컷: must-open","8.7 분석 / 추적 (KPI 측정 가능성 보강)","to do","P1","must-open","no","데이터/개발","T-D03","GA4 속성·측정 ID·GTM 컨테이너","모든 페이지에서 `page_view` 정상 수신, 회원 ID 매핑 가능","P1, must-open, 분석-/-추적-(KPI-측정-가능성-보강)"
"T-AN02","[T-AN02] GA4 표준 이벤트 태깅 (view_item / add_to_cart / purchase)","산출물: 표준 전자상거래 이벤트 발화

수용기준(AC): 모든 PDP·카트·결제에서 표준 이벤트 + items[] 파라미터 정상

담당: 개발
의존성: T-AN01, T-DV01, T-DV02, T-DV03
MVP 컷: must-open","8.7 분석 / 추적 (KPI 측정 가능성 보강)","to do","P1","must-open","no","개발","T-AN01, T-DV01, T-DV02, T-DV03","표준 전자상거래 이벤트 발화","모든 PDP·카트·결제에서 표준 이벤트 + items[] 파라미터 정상","P1, must-open, 분석-/-추적-(KPI-측정-가능성-보강)"
"T-AN03","[T-AN03] 커스텀 이벤트 태깅 (05-kpi-events 정의 전체)","산출물: 커스텀 이벤트 발화 + 파라미터 검증 보고서

수용기준(AC): S1·S3·S4·S5 커스텀 이벤트가 정의된 위치에서 발화, BigQuery 적재 확인

담당: 개발/CRM
의존성: T-AN02, T-DV15, T-SC01
MVP 컷: must-open","8.7 분석 / 추적 (KPI 측정 가능성 보강)","to do","P1","must-open","no","개발/CRM","T-AN02, T-DV15, T-SC01","커스텀 이벤트 발화 + 파라미터 검증 보고서","S1·S3·S4·S5 커스텀 이벤트가 정의된 위치에서 발화, BigQuery 적재 확인","P1, must-open, 분석-/-추적-(KPI-측정-가능성-보강)"
"T-AN04","[T-AN04] 주간 매출/전환 + 정품등록 모니터 대시보드","산출물: Looker 대시보드 2개

수용기준(AC): AOV·카트수·S1 funnel·정품등록 일별 추이 시각화

담당: 데이터
의존성: T-AN02, T-AN03
MVP 컷: post-open","8.7 분석 / 추적 (KPI 측정 가능성 보강)","to do","P1","post-open","no","데이터","T-AN02, T-AN03","Looker 대시보드 2개","AOV·카트수·S1 funnel·정품등록 일별 추이 시각화","P1, post-open, 분석-/-추적-(KPI-측정-가능성-보강)"
"T-AN05","[T-AN05] 라인 자산 효율 + PDP 신뢰 대시보드","산출물: Looker 대시보드 2개

수용기준(AC): 라인별 GMV·검색 유입·PDP 체류·SCIENCE 영역 도달율

담당: 데이터
의존성: T-AN02, T-AN03
MVP 컷: post-open","8.7 분석 / 추적 (KPI 측정 가능성 보강)","to do","P1","post-open","no","데이터","T-AN02, T-AN03","Looker 대시보드 2개","라인별 GMV·검색 유입·PDP 체류·SCIENCE 영역 도달율","P1, post-open, 분석-/-추적-(KPI-측정-가능성-보강)"
"T-OP01","[T-OP01] 임상·효능 카피 법무 검수","산출물: 검수 보고서

수용기준(AC): 모든 PDP·라인·SCIENCE 페이지 카피 통과

담당: 법무/콘텐츠
의존성: T-SC01, 라인 페이지 전체
MVP 컷: must-open","9. 운영 / 검수 / 배포 전","to do","P1","must-open","no","법무/콘텐츠","T-SC01, 라인 페이지 전체","검수 보고서","모든 PDP·라인·SCIENCE 페이지 카피 통과","P1, must-open, 운영-/-검수-/-배포-전"
"T-OP02","[T-OP02] 리뷰 의료 표현 모니터링 운영 룰","산출물: 운영 가이드

수용기준(AC): 사후 모니터링 주기·삭제 기준·재발 시 조치

담당: CS/법무
의존성: T-CM02
MVP 컷: post-open","9. 운영 / 검수 / 배포 전","to do","P1","post-open","no","CS/법무","T-CM02","운영 가이드","사후 모니터링 주기·삭제 기준·재발 시 조치","P1, post-open, 운영-/-검수-/-배포-전"
"T-OP03","[T-OP03] 라이브 커머스 표시광고법 가이드라인 (사전)","산출물: 가이드라인 문서

수용기준(AC): 1차에서 라이브 미운영이어도 2차 대비 사전 작성

담당: 마케팅/법무
의존성: —
MVP 컷: phase-2","9. 운영 / 검수 / 배포 전","to do","P2","phase-2","no","마케팅/법무","—","가이드라인 문서","1차에서 라이브 미운영이어도 2차 대비 사전 작성","P2, phase-2, 운영-/-검수-/-배포-전"
"T-OP04","[T-OP04] 사용 흐름(UX) 통합 점검 — 신규 방문~결제","산출물: UX 점검 보고서

수용기준(AC): 신규 5개 페르소나 시나리오 각 5단계 클릭패스 시뮬레이션

담당: 기획/디자인
의존성: 1차 페이즈 페이지 80% 이상 완성 시
MVP 컷: must-open","9. 운영 / 검수 / 배포 전","to do","P1","must-open","no","기획/디자인","1차 페이즈 페이지 80% 이상 완성 시","UX 점검 보고서","신규 5개 페르소나 시나리오 각 5단계 클릭패스 시뮬레이션","P1, must-open, 운영-/-검수-/-배포-전"
"T-OP05","[T-OP05] 사이드이펙트 점검 — URL/검색/SEO/외부 리뷰","산출물: 점검 보고서

수용기준(AC): T-C10 결과 검증, 깨진 링크 0건

담당: 개발
의존성: T-C10
MVP 컷: must-open","9. 운영 / 검수 / 배포 전","to do","P1","must-open","no","개발","T-C10","점검 보고서","T-C10 결과 검증, 깨진 링크 0건","P1, must-open, 운영-/-검수-/-배포-전"
"T-OP06","[T-OP06] 배포 전 최종 검토 (Goals 적합성)","산출물: 배포 가능 판정서

수용기준(AC): 5개 Sub-goal별 핵심 KPI 측정 가능 상태 확인. T-AN01~03 must-open 완료 검증

담당: PM
의존성: 1차 페이즈 전 task 완료, T-AN03
MVP 컷: must-open","9. 운영 / 검수 / 배포 전","to do","P1","must-open","no","PM","1차 페이즈 전 task 완료, T-AN03","배포 가능 판정서","5개 Sub-goal별 핵심 KPI 측정 가능 상태 확인. T-AN01~03 must-open 완료 검증","P1, must-open, 운영-/-검수-/-배포-전"
